region,region,hemi,func_grad,x.mni,y.mni,z.mni,region,hemi,thickness,O2_metab,Glucose_metab,fcgradient01,fcgradient02,D1,D2,DAT,5HT1a,5HT1b,5HT2a,5HT4,5HT6,5HTT,a4b2,M1,VAChT,GABA,NMDA,mGluR,NET,H3,CB1,MOR
G temporal inf,RT,right,1,52.585,-34.688,-23.578,G_temporal_inf',right,3.0335844,4692.4326,5697.7964,1.6927031,0.8687733,18.225517,1.80166492,28.998714,47.826515,0.857081499,40.659954,1.5667038,0.5382426,2.2565029,10.305176,4.541066,-0.567418621,588.1969,7.6533895,0.274749501,0.050254036,15.938334,1.3979824,28.676954
G temporal middle,LT,left,1,-58.882,-35.896,-12.614,G_temporal_middle',left,3.0848792,4770.0156,5897.2124,4.5512667,0.002335872,14.926931,1.610780118,26.895456,42.695324,0.589995288,42.29807,1.654418,0.6409225,2.3340743,9.858497,4.2837796,-0.317956085,684.20514,7.6950502,0.775507373,0.050852112,16.168451,1.4070112,28.959707
G temporal middle,RT,right,1,59.788,-33.921,-12.556,G_temporal_middle',right,3.0695055,4837.6006,5992.395,4.5550027,0.072396286,17.296764,1.759502422,28.178898,41.21973,0.598095422,49.011143,1.9490546,0.5835492,2.8165128,10.708948,4.856923,-0.382011981,668.39197,7.9041286,0.940327957,0.09709593,17.592222,1.4378976,28.616346
Lat Fis-ant-Horizont,LF,left,1,-38.82,32.499,-2.872,Lat_Fis-ant-Horizont',left,2.730736,5064.82,6657.2993,2.5627427,-0.37767634,13.3993635,0.823192799,31.593191,28.89298,-0.03108312,38.83596,1.076412,0.44942975,2.6928742,10.81186,2.9553807,0.031127817,510.51355,8.050643,0.508227834,-0.005705843,15.569539,1.2292857,24.932114
Lat Fis-ant-Horizont,RF,right,1,41.415,30.224,2.684,Lat_Fis-ant-Horizont',right,2.6942756,5166.081,6714.793,0.23249342,-0.36894917,13.552732,0.877623378,32.387295,31.852999,0.548083483,32.36754,0.8243371,0.51975363,1.980573,11.3657675,4.0796804,-0.11630081,374.2425,7.6884413,0.559787755,0.066438064,19.930803,1.2981778,26.17043
Lat Fis-ant-Vertical,LF,left,1,-43.715,21.733,8.441,Lat_Fis-ant-Vertical',left,2.8240223,5190.409,6769.933,1.7990305,-0.3199862,16.597647,1.07959669,32.306133,32.868652,0.590920747,51.095978,1.647755,0.57366705,3.9849668,10.92843,4.1318555,0.436375337,722.93317,8.127485,1.508056823,0.032477625,19.713575,1.3702414,30.316612
Lat Fis-ant-Vertical,RF,right,1,45.448,21.327,9.036,Lat_Fis-ant-Vertical',right,2.8262813,5382.084,6976.3604,2.2454853,-0.18070471,17.14714,0.932280537,31.611694,35.86675,0.825905648,37.992985,1.0940491,0.579413,2.4117115,11.566962,3.7634206,0.372477369,818.0376,8.015475,1.23771102,0.090368636,21.619175,1.3885622,29.045475
Lat Fis-post,LT,left,2,-39.745,-34.67,18.317,Lat_Fis-post',left,2.5670135,5242.4966,6323.284,-3.8592606,-1.6794536,14.439628,0.623746021,31.515081,22.639307,-1.499288081,33.653732,1.0854019,0.27374557,4.17223,10.098248,2.2590787,0.300777675,486.6807,8.345096,-0.878038035,-0.03107655,13.337284,1.0598758,16.024086
Lat Fis-post,RT,right,2,38.608,-28.952,19.349,Lat_Fis-post',right,2.6003575,5089.9766,6261.4424,-4.227787,-1.8782458,17.547195,0.97064352,32.742966,24.342579,-0.690887393,35.714153,1.1206034,0.4190373,4.445785,10.686179,3.464729,1.310837468,503.10468,8.234805,0.275325313,0.08819006,16.74057,1.1648705,20.494116
Pole occipital,LO,left,3,-17.721,-97.276,-5.706,Pole_occipital',left,2.070553,5423.9717,6546.527,-0.6071288,1.9094378,10.231975,0.541378429,25.882307,15.030733,-0.496262916,29.024048,0.4153975,0.4560237,1.3373865,9.438501,4.2332616,-1.253801691,852.65515,6.8767767,-1.241884327,0.060299795,15.721242,1.2094477,0.2249284
Pole occipital,RO,right,3,17.394,-94.985,-3.658,Pole_occipital',right,2.0471165,5622.384,6660.108,-1.6180614,2.6398733,10.35156,0.632951893,25.989197,15.799431,-0.266193871,35.691494,0.60852706,0.47020927,1.8214333,10.039164,4.356192,-1.237659499,857.37415,7.0975633,-1.128068117,0.04545905,15.271079,1.1695256,0.23920584
Pole temporal,LT,left,1,-34.89,2.935,-37.098,Pole_temporal',left,3.4837615,4026.046,4606.128,3.3902333,0.18779819,15.39787,1.830122503,29.623215,52.60666,0.258060727,40.30955,1.9824097,0.38445222,5.834614,8.227344,3.8592508,-0.694905788,472.65347,7.22362,-0.664119042,-0.10661859,15.099564,1.455401,32.11191
Pole temporal,RT,right,1,38.295,5.021,-36.584,Pole_temporal',right,3.3954546,4074.4922,4649.249,3.4615498,0.2247144,17.228323,1.917798934,29.60946,50.32572,0.166625333,36.80201,1.7797251,0.43425116,5.144239,8.632061,4.017934,-0.908604008,450.91296,7.3579097,-0.474476698,-0.11551528,15.085154,1.4138724,30.970953
S calcarine,LO,left,3,-17.114,-66.698,4.784,S_calcarine',left,2.1529233,5753.071,6637.2905,-3.0014737,3.2274644,16.454073,0.490652891,29.05057,17.43182,-0.213779752,38.35649,1.1424285,0.41615322,4.4122453,8.925847,3.8095577,-0.875355494,748.45105,7.282986,-0.833340296,-0.010149404,15.29629,1.091827,4.362686
S calcarine,RO,right,3,18.88,-62.432,5.357,S_calcarine',right,2.191186,5629.4556,6500.418,-3.2465796,3.429694,15.507169,0.464992032,29.351675,17.759817,-0.890646357,39.07706,1.2327044,0.37699696,4.8209324,9.196854,3.64106,-1.191822585,872.8396,7.330123,-0.821373043,-0.034483224,15.180222,1.0805871,4.989763
S central,LC,left,2,-36.398,-21.981,46.486,S_central',left,2.1372294,5554.897,6860.723,-4.9643264,-2.4985023,8.910274,0.478695301,27.8012,19.309118,-1.092479236,24.312344,0.76309466,0.2846634,2.5439756,9.972228,2.5296202,1.167057547,579.5008,7.205752,-1.498185162,0.1458301,14.15486,1.1202416,9.743007
S central,RC,right,2,35.89,-19.96,46.41,S_central',right,2.1394985,5612.549,6966.2334,-4.956764,-2.478999,10.592118,0.483279056,28.518728,18.896948,-0.892415043,21.680975,0.7435458,0.26757196,2.4210572,10.687344,2.3833385,1.105663773,543.678,7.2630153,-1.407048588,0.13716531,14.081496,1.1027125,9.14218
S cingul-Marginalis,LC,left,2,-15.26,-37.588,45.383,S_cingul-Marginalis',left,2.4820824,5056.5654,6262.6494,-2.336905,-0.6764677,16.524076,0.749081543,29.638784,27.421635,-0.542009025,30.237865,1.0055118,0.46718428,2.333426,10.401434,3.8519182,0.317421499,376.71292,7.381512,0.634197245,0.09701229,19.191639,1.3435193,24.478231
S cingul-Marginalis,RC,right,2,14.303,-37.59,45.995,S_cingul-Marginalis',right,2.4397695,5209.6113,6306.708,-3.0729918,-0.64952123,17.4248,0.622830201,29.137724,26.7202,-0.618304722,34.795704,1.0850424,0.35327902,2.6061099,10.1230345,3.5838885,0.38165362,436.69318,7.2955656,0.194785733,0.08076353,17.921286,1.2597693,24.607246
S circular insula ant,LT,left,1,-27.738,22.278,-9.516,S_circular_insula_ant',left,3.1399543,4949.8174,6225.135,3.0187466,-0.2649726,18.782942,1.800195012,36.886993,34.708385,0.010646058,36.532696,1.265003,0.50115466,4.6106114,10.001917,3.3167682,0.536631673,496.37558,8.842013,-0.106361374,-0.034640104,19.39266,1.3224033,35.075745
S circular insula ant,RT,right,1,29.668,23.312,-7.027,S_circular_insula_ant',right,3.120388,5117.283,6498.2207,2.7676117,-0.18234317,19.986628,1.57135718,38.601204,39.611427,0.835673123,35.525116,1.4226156,0.5323905,5.135767,10.784952,3.925404,0.845361716,681.2315,8.693092,0.557827272,0.03726354,22.012476,1.3835241,35.608826
S circular insula inf,LT,left,2,-39.502,-13.872,-7.846,S_circular_insula_inf',left,2.8566546,4562.3574,5204.318,-3.0200715,-1.1964827,19.610392,1.980805946,35.121445,43.717102,-0.001775476,31.175842,1.3227282,0.5015642,5.5705056,9.781829,3.8016229,2.020504704,478.3567,7.594816,-0.650294269,0.004369682,21.212818,1.381129,27.09757
S circular insula inf,RT,right,2,41.392,-12.95,-7.87,S_circular_insula_inf',right,2.8041537,4720.1416,5506.1357,-2.95783,-1.1318089,21.850508,1.771494553,36.984898,43.770424,0.20190829,26.683252,1.1022155,0.44733748,4.8194475,9.85744,4.247068,1.605470336,382.29785,7.521236,0.077300057,0.042042255,22.852987,1.3980727,28.137774
S circular insula sup,LT,left,2,-34.484,5.133,11.951,S_circular_insula_sup',left,2.8174903,5009.1284,6033.3823,-2.7929976,-1.1640384,18.000267,1.731081071,36.37234,31.722895,-0.346683768,31.987387,0.9586048,0.54408264,3.39181,10.588299,3.3911417,2.050245374,393.4425,8.470714,0.816404056,-0.008393684,18.21874,1.2717985,31.737982
S circular insula sup,RT,right,2,34.968,5.708,11.641,S_circular_insula_sup',right,2.8249288,5010.8496,6164.1616,-2.9791238,-1.2306032,18.982492,1.529592613,38.046806,32.842545,0.216215525,32.630062,1.1226867,0.5511562,3.858597,10.950049,4.032648,1.85302375,467.61725,8.341981,1.127309835,0.046524506,21.903769,1.3769166,33.014652
S collat transv ant,LT,left,1,-40.799,-21.096,-23.879,S_collat_transv_ant',left,2.8662913,4519.329,5377.801,1.5647675,0.8252382,13.326662,1.518314189,33.29352,44.045597,-0.242658638,36.6836,1.334764,0.5166645,2.9390874,8.857252,3.5902157,-0.729056831,650.4274,7.602483,-0.494837793,-0.04939518,13.043455,1.3589474,22.573284
S collat transv ant,RT,right,1,41.753,-20.346,-24.345,S_collat_transv_ant',right,2.8984475,4354.647,5154.1313,0.20573871,1.5357419,14.772402,1.722071066,32.768738,48.14086,0.252437302,28.06536,1.018312,0.51761717,2.1970026,9.334213,3.9314435,-0.865791724,508.81323,7.522944,-0.473829604,-0.034814943,14.026593,1.3660979,23.44919
S collat transv post,LO,left,3,-24.54,-78.901,-7.608,S_collat_transv_post',left,2.429131,5636.2554,6736.9805,-4.313655,5.3294396,14.803528,0.805455336,30.110573,14.492863,-1.12743036,30.252981,0.47378287,0.46064338,1.191047,9.999712,3.8990276,-1.144162817,803.3581,7.472378,-1.232917497,0.031667124,15.212801,1.21085,1.8084872
S collat transv post,RO,right,3,25.687,-78.075,-8.216,S_collat_transv_post',right,2.378794,5526.647,6882.204,-4.2906685,5.317456,15.707292,0.835962533,29.72521,16.020891,-1.124827811,42.97544,1.3036574,0.49497983,3.0099475,10.171617,4.0923953,-1.050553828,936.3883,7.1847534,-1.051222233,0.033142865,15.414832,1.1934183,2.9704561
S front inf,LF,left,1,-38.112,22.769,21.882,S_front_inf',left,2.5898082,5412.7617,7336.2314,2.6274495,0.4152586,15.240284,0.576215118,29.90956,26.900587,-0.191465613,35.144066,0.87371516,0.37729952,1.8684185,10.349272,2.460388,-0.113988058,541.9933,7.741818,-0.177001447,-0.011504005,13.655152,1.1916183,25.921421
S front inf,RF,right,1,38.7,23.248,20.601,S_front_inf',right,2.587393,5565.7476,7430.934,1.9210305,0.5468802,16.064903,0.699781944,30.352322,27.043715,0.239646709,35.010254,0.9880897,0.49192694,1.9980583,11.318284,3.2004213,-0.091273732,626.17267,7.8196335,0.183126289,0.06539846,17.377836,1.266415,25.399908
S front middle,LF,left,1,-25.968,43.597,18.904,S_front_middle',left,2.5159554,5362.1426,7081.941,1.3333982,-0.2801063,15.954877,0.76914827,28.50723,30.465652,0.21019529,33.066628,0.83753985,0.47547594,1.5921656,10.131857,2.8263855,-0.330077151,671.0897,7.829065,-0.222033193,0.03915191,15.948689,1.3210701,31.258753
S front middle,RF,right,1,28.296,40.93,22.288,S_front_middle',right,2.529028,5531.2173,7314.4585,1.4674376,-0.1679513,18.85894,0.899955446,28.896955,33.05036,0.820184952,38.589176,0.9904358,0.5849912,1.8730167,11.435761,3.9119506,0.089347025,685.2646,7.7201796,0.382380149,0.10930339,19.605038,1.407409,32.407745
S front sup,LF,left,1,-22.711,17.928,43.159,S_front_sup',left,2.678425,5138.878,6946.7275,3.0021439,0.21762928,14.348864,0.628469385,27.524885,28.857038,-0.142447649,33.179333,0.7604759,0.41317213,1.2744799,10.506168,2.7819042,-0.346680251,607.06586,7.6843915,-0.482595401,0.003455733,16.87321,1.2325758,27.982386
S front sup,RF,right,1,22.69,18.148,44.827,S_front_sup',right,2.66888,5337.5337,7063.172,2.7625713,0.3207746,15.991121,0.725421083,27.98437,30.145365,0.299161332,31.39648,0.75977814,0.49271193,1.2724564,11.248837,3.4053953,-0.397424845,485.33075,7.6996665,-0.125656685,0.045466047,19.456367,1.29467,29.02118
S interm prim-Jensen,LP,left,1,-49.911,-52.26,30.213,S_interm_prim-Jensen',left,2.680422,5291.253,6825.394,6.1301394,-0.14837661,13.765596,1.292104359,25.910395,37.552135,0.528191448,39.150536,0.6369234,0.66516507,0.9081407,11.134489,4.6591067,-0.29742369,770.0474,7.271089,0.636518176,0.101358615,19.180521,1.4454317,28.133043
S interm prim-Jensen,RP,right,1,47.946,-44.615,35.704,S_interm_prim-Jensen',right,2.615832,5450.299,6738.1343,2.8921816,0.31785983,16.19161,1.089060486,27.548754,36.10021,0.444232182,31.698399,0.87126505,0.52829754,1.1914424,11.193358,3.9436524,-0.585717468,619.1386,7.514352,0.554295186,0.08013896,16.437979,1.307129,26.589207
S intrapariet and P trans,LP,left,1,-28.528,-58.348,38.653,S_intrapariet_and_P_trans',left,2.37246,5527.2,7229.6416,0.29311025,1.7135417,13.91634,0.741843527,27.122602,27.464413,-0.512802482,29.81968,0.95675236,0.4516283,1.5506362,10.259416,3.6927333,-0.931934664,533.6477,7.602115,-0.549219941,0.038161963,14.969176,1.2196175,17.852291
S intrapariet and P trans,RP,right,3,30.463,-56.032,42.846,S_intrapariet_and_P_trans',right,2.375018,5514.203,6996.1816,-0.56854266,1.712761,14.053418,0.789431283,27.142466,28.768738,-0.180020917,31.063812,0.8460963,0.45727122,1.2820842,10.697673,3.8209717,-0.904707893,566.1153,7.5020504,-0.406784611,0.054109752,15.130719,1.2114037,19.0917
S oc-temp lat,LT,left,3,-30.314,-85.287,3.81,S_oc_middle_and_Lunatus',left,2.3280113,5269.7495,6619.091,-3.7164543,4.6388435,9.966229,0.68464463,27.233,28.043045,-0.016266357,42.567436,1.2028047,0.4446896,2.5347257,10.025766,3.648219,-1.034185558,703.1578,7.3905864,-1.309970622,0.03753093,13.0073185,1.1906497,5.703125
S oc-temp lat,RT,right,3,32.802,-82.079,6.453,S_oc_middle_and_Lunatus',right,2.329427,5236.9907,6625.3936,-3.7538373,4.6750154,11.028124,0.83349907,28.297485,30.028915,-0.026758472,38.434353,1.0108932,0.5373977,1.9491448,10.381855,3.8068738,-1.064169043,654.666,7.608227,-0.925878404,0.051344384,13.413883,1.197395,7.370563
S oc-temp med and Lingual,LT,left,3,-26.886,-80.465,17.196,S_oc_sup_and_transversal',left,2.3573003,5374.8193,6780.7817,-3.854716,4.8364477,11.5647,0.660484615,27.430182,27.131691,-0.303010375,38.869877,1.1381129,0.41691774,2.4395506,10.036247,3.735991,-1.075784835,624.85803,7.717773,-1.06755353,0.05633552,13.989289,1.2028661,8.297394
S oc-temp med and Lingual,RT,right,3,27.821,-77.321,20.078,S_oc_sup_and_transversal',right,2.338145,5370.021,6741.074,-3.9396236,4.912529,10.531178,0.790222936,28.094187,27.730036,-0.243756705,31.038322,0.65465134,0.4730841,1.2779657,10.579408,3.857331,-1.041455033,530.67755,7.739304,-0.916358708,0.043129817,13.954296,1.1935738,8.952432
S oc middle and Lunatus,LO,left,3,-41.84,-49.887,-14.185,S_oc-temp_lat',left,2.8029866,4933.0566,6016.441,-1.9180905,2.8523443,17.514109,0.977198167,30.873222,30.152515,-0.725495549,42.308414,1.6306312,0.451202,2.8229108,9.059237,3.2539136,-0.808746535,790.9877,7.4671845,-0.639731002,-0.04105574,11.936985,1.2186205,19.690044
S oc middle and Lunatus,RO,right,3,43.127,-50.709,-13.523,S_oc-temp_lat',right,2.751778,4971.96,5986.509,-2.5591674,3.0007713,17.088472,1.181562095,31.063185,30.415524,-0.317292476,23.364073,0.5927612,0.48971546,1.0220672,9.873661,3.5009813,-0.705833496,430.49142,7.61929,-0.503075584,-0.011769331,12.213722,1.2598941,20.081015
S oc sup and transversal,LO,left,3,-30.414,-48.15,-9.37,S_oc-temp_med_and_Lingual',left,2.6615531,4968.843,5702.3574,-1.7762766,3.455924,17.97536,1.226114207,31.113731,39.39592,-0.147581262,39.387196,1.5256145,0.44745284,4.31268,9.721707,3.901394,-0.595726952,743.48456,7.3525715,-0.122350018,0.007841248,15.406938,1.3219647,14.919316
S oc sup and transversal,RO,right,3,31.511,-46.227,-10.155,S_oc-temp_med_and_Lingual',right,2.6299691,4830.2876,5633.901,-2.410427,3.9121768,17.23891,1.253059442,30.834173,39.45856,-0.208765569,30.534103,1.0786929,0.45647156,3.0428457,9.901831,3.914687,-0.685735948,556.1188,7.367251,-0.173378583,-0.010697249,15.273339,1.3086218,14.767501
S occipital ant,LO,left,3,-41.7,-68.154,0.278,S_occipital_ant',left,2.6112037,5203.9204,6330.254,-3.977935,3.736738,14.051826,0.885928505,28.992884,37.844513,-0.135092347,39.83672,1.1797758,0.49505848,2.2258565,9.552582,3.5137105,-0.498819049,705.33624,7.50673,-0.238228852,0.00421942,13.186274,1.1887026,16.54443
S occipital ant,RO,right,3,42.996,-65.226,4.085,S_occipital_ant',right,2.561344,5201.9497,6248.108,-4.0662074,3.747812,16.849226,1.086032343,30.087357,35.864983,0.190565072,45.43537,1.7301612,0.55313456,3.1918194,10.395438,3.937907,-0.444354023,698.7713,7.8420434,0.002265933,0.04774554,14.036386,1.231518,16.016563
S orbital-H Shaped,LPF,left,1,-39.46,40.593,-2.29,S_orbital_lateral',left,2.604082,5192.191,7025.976,5.5324364,0.08327194,16.197498,0.891951353,26.858887,32.3847,0.632376345,35.923084,1.0976726,0.5725109,1.9988016,10.317507,3.3800907,0.084431561,637.46985,7.5831814,0.024320035,0.07662924,16.335712,1.4045264,31.727583
S orbital-H Shaped,RPF,right,1,41.491,39.606,-1.682,S_orbital_lateral',right,2.5742981,5276.1504,7179.3525,3.1790702,0.10549058,18.820948,0.987803018,28.415623,32.943974,1.061528155,36.833664,1.4825778,0.5992995,2.6044478,11.672318,4.2214527,0.149822423,792.1234,7.5039644,0.59100541,0.13429245,18.42753,1.4081011,31.82458
S orbital lateral,LPF,left,1,-12.768,24.56,-17.598,S_orbital_med-olfact',left,2.4681025,4757.4893,6077.975,5.0722804,-0.10744803,23.582241,1.460595035,35.528015,40.98797,0.415585343,41.31957,1.3692851,0.41398692,3.5676327,9.6155405,3.9567378,1.190902659,519.3383,8.034885,0.175231181,-0.029837841,23.595135,1.4481099,33.309433
S orbital lateral,RPF,right,1,13.776,22.903,-16.664,S_orbital_med-olfact',right,2.5077953,5043.6567,6384.726,4.1113396,-0.08405338,22.898392,1.448629973,36.039864,41.73664,0.474898977,40.98681,1.5115192,0.37537318,3.8296998,9.616168,4.013811,1.093138372,589.55914,7.7964363,0.107128691,-0.033938657,26.834846,1.4263257,34.29199
S orbital med-olfact,LPF,left,1,-24.206,34.927,-11.657,S_orbital-H_Shaped',left,2.7666914,4988.7256,6574.6973,2.3683417,0.11979522,15.716386,0.78605504,29.951939,32.094635,0.101007987,46.00438,1.480293,0.39446864,3.1633847,9.093297,2.449658,-0.300378411,528.795,8.202572,-0.893572255,-0.047201715,14.620301,1.2442671,29.267607
S orbital med-olfact,RPF,right,1,24.293,35.417,-11.756,S_orbital-H_Shaped',right,2.769199,5159.201,6701.1294,2.8657343,0.24264923,16.283377,0.823151805,30.526484,32.055435,0.258692707,45.154655,1.3858023,0.41310322,3.1202414,9.774374,2.7590024,-0.226981503,559.54504,8.095157,-0.79607917,0.002577296,16.687872,1.2768089,29.24676
S parieto occipital,LP,left,3,-16.599,-67.45,22.655,S_parieto_occipital',left,2.4146008,5534.886,6928.9795,-0.6744403,2.332988,17.120926,0.736885232,29.574907,24.13166,-0.125377977,39.50565,1.2189807,0.57698905,3.2587085,10.15141,4.378875,-0.74702073,677.54724,7.9723244,0.22832992,0.082479045,18.264217,1.2270988,11.220729
S parieto occipital,RP,right,3,17.959,-65.668,24.804,S_parieto_occipital',right,2.418342,5548.8164,7031.083,-1.1501268,2.48239,16.214186,0.606129894,29.493734,22.714718,-0.944452243,39.54402,1.2493898,0.44872472,3.490794,9.954371,3.6062133,-1.075176266,601.11786,7.784429,-0.015353033,0.008259079,16.205103,1.1540337,11.61479
S pericallosal,LL,left,1,-6.016,-10.328,25.728,S_pericallosal',left,1.8290812,4911.022,6359.3438,1.6207218,-0.089786,10.586933,0.321197507,30.886637,16.326004,-2.031114103,18.574512,0.62696,0.107886866,2.3341923,8.313409,1.8240966,-0.031340803,559.6173,5.437038,-2.534472683,-0.10707324,13.158852,1.0658224,10.561942
S pericallosal,RL,right,1,7.329,-8.271,25.71,S_pericallosal',right,2.2022386,4941.778,6162.1245,1.5193528,-0.029932192,11.595915,0.299227732,30.74276,15.831124,-2.167840198,17.088663,0.6067805,0.0638932,2.3167055,8.425785,1.5926857,-0.332599475,576.5151,5.486707,-2.61902053,-0.10155676,13.7856045,1.0500474,12.659093
S postcentral,LC,left,2,-36.815,-36.102,41.146,S_postcentral',left,2.321745,5229.8325,6396.7734,-3.952158,-1.1531639,12.744862,0.801392202,26.965755,29.75579,-0.460506083,26.027668,0.7923756,0.41054016,1.4874805,9.930355,3.4705102,-0.333288297,499.62527,7.3215013,-0.511913091,0.06322765,15.346258,1.2415519,21.415257
S postcentral,RC,right,2,36.512,-34.916,42.321,S_postcentral',right,2.317569,5333.522,6448.6895,-4.6466904,-1.5474329,14.589317,0.746699701,27.425184,26.971138,-0.392955839,22.917229,0.7095912,0.37016764,1.4293135,10.43009,3.314616,-0.374148579,415.37894,7.3044677,-0.431331098,0.108040914,15.203043,1.1940837,20.290306
S precentral-inf-part,LC,left,1,-43.352,2.957,27.034,S_precentral-inf-part',left,2.7135823,5439.4785,7131.8154,0.60083455,0.6031635,12.114284,0.590045824,29.57612,27.760532,-0.261663571,43.57473,1.4676015,0.37676713,2.845519,10.265253,2.5523202,0.18055136,718.34485,8.252517,-0.119024638,-0.010656382,14.023528,1.1650519,26.140493
S precentral-inf-part,RC,right,1,42.614,4.307,27.246,S_precentral-inf-part',right,2.7145858,5688.909,7334.495,0.2966982,0.8507036,16.422497,0.693466625,30.17508,27.834646,0.26270934,39.985302,1.0918804,0.4666758,2.0990574,11.357109,3.1535306,0.189223464,566.1539,7.9036355,0.233333337,0.06043975,16.869143,1.2334743,25.384613
S precentral-sup-part,LC,left,2,-26.797,-9.499,50.401,S_precentral-sup-part',left,2.5972002,5334.1177,6802.342,-3.7133968,-0.6930461,12.237964,0.475728259,26.819607,25.482058,-0.46831597,34.369553,0.9230282,0.32276207,1.8642429,10.342603,2.2289948,0.119855975,502.7811,7.752182,-0.827062928,0.038301196,15.815935,1.1522517,23.905546
S precentral-sup-part,RC,right,2,26.621,-8.68,51.56,S_precentral-sup-part',right,2.6113203,5475.689,7009.3286,-3.781588,-0.30502132,13.432063,0.545987474,27.22972,25.65645,-0.158093872,33.83267,0.8787978,0.33663863,1.7395116,11.006918,2.703795,0.101887881,508.94046,7.684709,-0.76313428,0.06756939,17.696661,1.1813025,24.228455
S suborbital,LPF,left,1,-8.559,38.452,-11.471,S_suborbital',left,2.8709278,5225.599,6478.038,5.7690797,-0.040715523,24.683308,1.093593195,31.71592,43.042744,0.719202286,31.676733,0.7261706,0.5434559,1.7541051,10.11941,4.3117814,0.384256731,290.2276,8.21156,1.614242679,0.01033069,25.267393,1.5101516,35.935757
S suborbital,RPF,right,1,8.781,42.174,-14.271,S_suborbital',right,2.6963098,5237.422,6753.377,5.8440723,-0.06357399,24.843655,1.080357372,30.182749,41.19599,0.888299967,42.820423,1.1953822,0.54258066,2.421255,10.867141,4.6563845,0.097725673,473.2113,8.119341,1.539041189,0.053495426,23.255495,1.5218817,34.61683
S subparietal,LP,left,1,-10.867,-50.05,34.979,S_subparietal',left,2.6540427,5460.484,6987.99,5.4608235,0.006671047,19.970005,0.84767697,30.207167,29.137775,-0.225021942,38.212437,1.2151082,0.5919869,2.4784563,10.909812,4.478798,0.228338483,518.7339,7.9493732,1.210861488,0.07115919,20.176373,1.3583395,24.67524
S subparietal,RP,right,1,10.497,-50.187,36.502,S_subparietal',right,2.6938426,5633.987,7083.848,5.089624,0.09349358,20.685768,0.755220067,29.95566,29.284811,-0.286572379,44.951874,1.4641339,0.5089302,2.9863796,10.66505,4.0332174,0.323790704,563.0389,7.946312,0.963931374,0.05017337,18.153843,1.2985233,25.714693
S temporal inf,LT,left,1,-52.545,-38.438,-16.527,S_temporal_inf',left,2.9365501,4755.3057,5980.2344,4.110333,0.6327716,14.6369915,1.161136428,29.781048,42.38001,4.06E-05,40.342587,1.5397711,0.49934405,2.1148493,8.836288,2.8967793,-0.521388824,640.69763,7.878282,-0.454353496,-0.0427478,11.354301,1.2415811,24.28218
S temporal inf,RT,right,1,53.027,-39.85,-15.285,S_temporal_inf',right,2.9144497,4837.4224,6070.87,3.736235,0.28115806,17.293518,1.443852059,30.53765,44.674408,0.72553008,32.99499,1.0428451,0.5721003,1.3866432,10.288166,3.4764664,-0.517659165,468.53058,7.778913,0.022894313,0.04154514,13.10212,1.3056966,24.253643
S temporal sup,LT,left,1,-48.624,-47.475,5.828,S_temporal_sup',left,2.7691634,5121.9795,6208.52,3.2588332,0.17668681,16.166893,1.150968596,29.63922,37.43946,-0.087752561,36.175156,1.0998384,0.4996511,1.95899,9.670397,3.557059,-0.188808209,494.19336,7.739006,-0.013406666,-0.006473037,14.500051,1.2656654,24.341568
S temporal sup,RT,right,1,48.138,-43.634,8.103,S_temporal_sup',right,2.7618454,5195.7554,6246.6343,1.6581099,0.38458773,19.562357,1.199347866,30.944302,36.645424,0.162680356,35.988033,1.1377816,0.50679135,2.089701,10.541463,3.6949437,-0.339674175,530.7472,7.8307867,0.591376047,0.044625353,14.377945,1.2534292,24.735714
S temporal transverse,LT,left,2,-50.606,-25.294,2.119,S_temporal_transverse',left,2.7536747,5621.259,6874.55,-3.5899045,-1.427069,14.454072,0.801992632,30.470856,32.367584,-0.419786963,56.278362,2.1553233,0.4371592,6.2984867,9.903948,2.9711518,1.442686737,916.1773,9.403851,-0.014791565,0.06534107,17.315327,1.1554116,11.846527
S temporal transverse,RT,right,2,51.842,-22.388,4.422,S_temporal_transverse',right,2.741153,5874.203,7216.1157,-3.641353,-1.3819637,19.133472,1.029209543,30.821234,34.361443,0.501009262,57.223476,1.9829556,0.5164345,5.6130285,10.780006,4.514782,2.007687818,886.22736,9.496419,0.965562179,0.18799447,21.62919,1.2854286,11.761294